NEDOID,NUSUARIOACT,CEDOCVE,CEDONOMB,ESTADO_IVA,FEDOFACT,NPAISID
,,,,,,
1,0,AGS,AGUASCALIENTES,,7/3/2003 3:28,1
2,0,BC,BAJA CALIFORNIA NORTE,,7/3/2003 3:28,1
3,0,BCS,BAJA CALIFORNIA SUR,,7/3/2003 3:28,1
4,0,CAMP,CAMPECHE,,7/3/2003 3:28,1
7,0,CHIS,CHIAPAS,,7/3/2003 3:28,1
8,0,CHIH,CHIHUAHUA,,7/3/2003 3:28,1
5,0,COAH,COAHUILA,,7/3/2003 3:28,1
6,0,COL,COLIMA,,7/3/2003 3:28,1
9,0,DF,DISTRITO FEDERAL,,7/3/2003 3:28,1
10,0,DGO,DURANGO,,7/3/2003 3:28,1
15,0,MEX,ESTADO DE MEXICO,,7/3/2003 3:28,1
11,0,GTO,GUANAJUATO,,7/3/2003 3:28,1
12,0,GRO,GUERRERO,,7/3/2003 3:28,1
13,0,HGO,HIDALGO,,7/3/2003 3:28,1
14,0,JAL,JALISCO,,7/3/2003 3:28,1
16,0,MICH,MICHOACAN,,7/3/2003 3:28,1
17,0,MOR,MORELOS,,7/3/2003 3:28,1
18,0,NAY,NAYARIT,,7/3/2003 3:28,1
19,0,NL,NUEVO LEON,,7/3/2003 3:28,1
20,0,OAX,OAXACA,,7/3/2003 3:28,1
21,0,PUE,PUEBLA,,7/3/2003 3:28,1
22,0,QRO,QUERETARO,,7/3/2003 3:28,1
23,0,QROO,QUINTANA ROO,,7/3/2003 3:28,1
24,0,SLP,SAN LUIS POTOSI,,7/3/2003 3:28,1
25,0,SIN,SINALOA,,7/3/2003 3:28,1
26,0,SON,SONORA,,7/3/2003 3:28,1
27,0,TAB,TABASCO,,7/3/2003 3:28,1
28,0,TAMP,TAMAULIPAS,,7/3/2003 3:28,1
29,0,TLAX,TLAXCALA,,7/3/2003 3:28,1
30,0,VER,VERACRUZ,,7/3/2003 3:28,1
31,0,YUC,YUCATAN,,7/3/2003 3:28,1
32,0,ZAC,ZACATECAS,,7/3/2003 3:28,1
